,feature,dataset
65,kind_of_alligator,animal_only
66,known_laying_in_supplies_for_the_winter,animal_only
67,lays_frogspawn,animal_only
68,leaves_stains_on_one's_skin,animal_only
69,likes_humidity,animal_only
70,lives_among_human_beings,animal_only
71,lives_in_a_dolfinarium,animal_only
72,lives_in_distant_countries,animal_only
73,lives_in_dry_areas,animal_only
74,lives_in_Europe,animal_only
75,long_hair,animal_only
76,looks_clumsy,animal_only
77,looks_like_a_frog,animal_only
78,looks_like_a_mosquito,animal_only
79,looks_like_a_snail,animal_only
80,loves_wood,animal_only
81,makes_ant_hills_in_sand/earth,animal_only
82,more_used_in_agriculture_in_the_past,animal_only
83,mousetrap,animal_only
84,often_used_as_guard,animal_only
85,opens_its_tail_when_it_is_scared,animal_only
86,related_to_wasp,animal_only
87,skilful_person,animal_only
88,slaughtered_as_sacrifice,animal_only
89,small_ears,animal_only
90,smaller_than_a_horse,animal_only
91,sometimes_stands_on_one_paw,animal_only
92,timid_animal,animal_only
93,uses_pollen_from_flowers,animal_only
94,vomits_pellets,animal_only
95,wags,animal_only
96,always_lands_on_its_paws,animal_only
97,as_the_saying_goes_a_snake_in_the_grass,animal_only
98,assosciated_with_wisdom,animal_only
99,bleats,animal_only
100,breaths_under_water,animal_only
101,can_be_disadvantageous_to_harvest,animal_only
102,can_be_seen_on_safaris,animal_only
103,can_be_used_in_a_salad,animal_only
104,can_do_without_water_for_long_periods,animal_only
105,can_kill_people,animal_only
106,can_sing_beautifully,animal_only
107,can_store_food_in_its_bill,animal_only
108,can_turn_his_head_very_far,animal_only
109,descend_from_the_dinosaur,animal_only
110,doesn't_have_1000_paws,animal_only
111,earths,animal_only
112,eats_frogs,animal_only
113,eats_from_flowers,animal_only
114,eats_plant_lice,animal_only
115,eats_seals,animal_only
116,especially_lives_in_the_country,animal_only
117,floats_on_water,both
118,goes_from_flower_to_flower,animal_only
119,goes_slowely,animal_only
120,grazes,animal_only
121,has_a_bill_with_a_crop,animal_only
122,has_a_head,both
123,has_a_hump_to_store_water,animal_only
124,has_a_mouth,animal_only
125,has_a_small_bill,animal_only
126,has_hierarchy,animal_only
127,has_large_front_teeth,animal_only
128,has_little_eyes,animal_only
129,has_rings,animal_only
130,has_several_gaits_ao_gallop,animal_only
131,has_warts,animal_only
132,is_beige,animal_only
133,is_blue,both
134,is_cause_for_arachnophobia,animal_only
135,is_collected,animal_only
136,is_eaten_(with_plums),animal_only
137,is_eaten_with_tomato_sauce,animal_only
138,is_found_all_around_the_world,animal_only
139,is_found_in_clothing,animal_only
140,is_found_mainly_in_southern_countries,animal_only
141,is_good_for_soil,animal_only
142,is_large_and_fat,animal_only
143,is_medium-sized,animal_only
144,is_not_expensive,both
145,is_not_good_at_flying,animal_only
146,is_pickled,animal_only
147,is_sandy-coloured,animal_only
148,is_slaughtered,animal_only
149,is_the_female_of_the_cock,animal_only
150,is_the_main_character_in_'Jaws',animal_only
151,is_used_in_fights,animal_only
152,kind_of_frog,animal_only
153,lives_in_the_primaeval_forest,animal_only
154,"long_hind_legs,_short_forelegs",animal_only
155,looks_like_a_salamander,animal_only
156,neighs,animal_only
157,neutral_scent,animal_only
158,not_friendly_with_dogs,animal_only
159,often_sits_under_a_piece_of_wood,animal_only
160,pig_nose,animal_only
161,resembles_cows,animal_only
162,resembles_humans,animal_only
163,rises_early,animal_only
164,rough,animal_only
165,short_front_legs,animal_only
166,sits_on_threads_of_electricity,animal_only
167,sleeps_on_a_stick,animal_only
168,soup_is_made_of_it,animal_only
169,term_of_abuse_(in_dutch),animal_only
170,was_used_in_medical_science_in_earlier_times,animal_only
171,when_small_piglet,animal_only
172,appears_in_the_tv-programme_Skippy,animal_only
173,associated_with_vampires,animal_only
174,attacks,animal_only
175,attic,animal_only
176,can_be_killed_with_a_fly_swatter,animal_only
177,carries_iets_child_in_a_pouch,animal_only
178,cattle-like_animal,animal_only
179,digs_holes,animal_only
180,eats_bananas,animal_only
181,eats_everything,animal_only
182,eats_fruit,animal_only
183,especially_occurs_in_the_winter,animal_only
184,gabbles,animal_only
185,gnaws_on_everything,animal_only
186,hard,animal_only
187,has_a_pungent_smell,animal_only
188,has_a_tongue,animal_only
189,has_an_eye_on_its_feathers,animal_only
190,has_big_claws_,animal_only
191,has_black_eyes,animal_only
192,has_many_teeth,animal_only
193,has_pointy_ears,animal_only
194,has_round_eyes,animal_only
195,has_several_stomachs,animal_only
196,has_sharp_claws,animal_only
197,has_suckers,animal_only
198,has_tentacles,animal_only
199,hatches_out_other_eggs,animal_only
200,hunts_chicken,animal_only
201,is_a_delicacy,animal_only
202,is_an_articulate_animal,animal_only
203,is_attracted_by_shiny_objects,animal_only
204,is_baked,animal_only
205,is_difficult_to_catch,animal_only
206,is_greasy,both
207,is_healthy,both
208,is_light,both
209,is_lithe,animal_only
210,is_not_verry_big,animal_only
211,is_often_found_on_dogs,animal_only
212,is_sold_at_the_market,animal_only
213,jumps_in_the_water,animal_only
214,laong_teeth,animal_only
215,leading_figures_in_Jurassic_Parc,animal_only
216,lies_motionless_in_the_water,animal_only
217,lives_in_nests,animal_only
218,lives_on_the_ground,animal_only
219,lives_on_the_steppe,animal_only
220,male_cow_=_bull,animal_only
221,miaows,animal_only
222,often_used_as_laboratory_animal,animal_only
223,resembles_a_worm,animal_only
224,shot_for_its_skin,animal_only
225,skeletons_in_museum,animal_only
226,sometimes_lives_in_church_towers_,animal_only
227,spring,animal_only
228,swims_upstream_to_lay_eggs,animal_only
229,swings_from_tree_to_tree,animal_only
230,tands_in_the_crib_(xmass),animal_only
231,used_as_a_draught_animal,animal_only
232,used_to_carry_around_mail,animal_only
233,usually_has_one_young_at_a_time,animal_only
234,wild_animal,animal_only
235,you_can_boil_it,animal_only
236,zebra_crossing_(pedestrian-),animal_only
237,_in_the_morning,animal_only
238,also_lives_in_the_city,animal_only
239,blows_up_its_cheeks,animal_only
240,brays,animal_only
241,can_also_refer_to_a_tent_stake,animal_only
242,can_be_a_greeting,animal_only
243,can_be_cured,animal_only
244,can_climb_up_a_wall,animal_only
245,clucks_on_trees,animal_only
246,comes_up_to_the_surface_for_air,animal_only
247,does_not_lay_eggs,animal_only
248,eats_acorns,animal_only
249,eats_chicken,animal_only
250,eats_people,animal_only
251,especially_lives_at_the_coast,animal_only
252,family_of_the_camel,animal_only
253,flat_tail,animal_only
254,fragile,animal_only
255,has_beady_eyes,animal_only
256,has_poison_fangs,animal_only
257,is_a_kind_of_bear,animal_only
258,is_aggressive,animal_only
259,is_bluish_grey,animal_only
260,is_eaten_on_Thanksgiving,animal_only
261,is_first_a_tadpole,animal_only
262,is_friendly,animal_only
263,is_good_for_the_environment,animal_only
264,is_hermaphrodite,animal_only
265,is_used_in_the_saying_'packed_like_sardines_in_a_tin',animal_only
266,is_white/brown,animal_only
267,likes_to_eat_carrots,animal_only
268,lives_in_families,animal_only
269,lives_in_the_open_air,animal_only
270,lives_outdoors,animal_only
271,looks_like_a_crocodile,animal_only
272,lots_of_hair,animal_only
273,mothballs_as_a_remedy,animal_only
274,moves_by_contracting,animal_only
275,pecks,animal_only
276,runs_in_a_mill,animal_only
277,savanne,animal_only
278,sits_on_fruit,animal_only
279,small_cows_are_calfs,animal_only
280,smells_blood,animal_only
281,some_people_are_allergic_to_it,animal_only
282,the_boss_among_the_chickens,animal_only
283,the_legs_are_eaten,animal_only
284,cackles,animal_only
285,can_be_found_in_the_ardennes,animal_only
286,chews_the_cud,animal_only
287,climbs_in_trees,animal_only
288,comes_to_the_surface_when_it_rains,animal_only
289,eats_cheese,animal_only
290,flies_high,animal_only
291,has_a_large_tail,animal_only
292,has_a_long_nose_in_the_shape_of_a_sword,animal_only
293,has_a_small_head,animal_only
294,has_ribs,animal_only
295,indians_hunted_it,animal_only
296,is_a_type_of_beetle,animal_only
297,is_an_exotic_animal,animal_only
298,is_athrodopal,animal_only
299,is_eaten_on_festive_dinners,animal_only
300,is_expensive,both
301,is_food_for_larger_animals,animal_only
302,is_found_in_warm_places,animal_only
303,is_often_released_after_a_wedding,animal_only
304,is_parasite,animal_only
305,is_red_or_black,animal_only
306,is_scary,animal_only
307,is_tinned_in_oil,animal_only
308,is_very_active,animal_only
309,lays_eggs_in_sand,animal_only
310,lies_on_the_sea-floor,animal_only
311,lives_in_a_swamp,animal_only
312,makes_a_recognizable_sound,animal_only
313,makes_a_'tok_tok'_sound,animal_only
314,protected_species,animal_only
315,seems_mean,animal_only
316,stands_in_the_stable,animal_only
317,takes_good_care_of_her_children,animal_only
318,the_female_is_brown,animal_only
319,typical_ennemy_of_a_cat,animal_only
320,used_in_research,animal_only
321,wings_run,animal_only
322,becomes_a_butterfly,animal_only
323,carries_over_diseases,animal_only
324,chirps,animal_only
325,drinks_water,animal_only
326,eats_flies,animal_only
327,eats_nectar,animal_only
328,has_a_hooked_bill,animal_only
329,has_a_pointed_snout,animal_only
330,has_a_rough_skin,animal_only
331,has_a_woollen_fur,animal_only
332,has_bright_colours,animal_only
333,has_two_ears,animal_only
334,has_young_=_cubs,animal_only
335,howls,animal_only
336,is_eaten_by_other_animals,animal_only
337,is_found_in_Belgium,animal_only
338,is_found_on_animals,animal_only
339,is_served_in_a_restaurant,animal_only
340,large_nostrils,animal_only
341,lays_eggs_in_the_nests_of_other_birds,animal_only
342,lazy,animal_only
343,lives_in_a_chicken_coop,animal_only
344,lives_in_a_hive,animal_only
345,lives_in_the_North_Sea,animal_only
346,lives_in_the_polar_regions,animal_only
347,lives_nearby_ponds,animal_only
348,looks_like_a_lizard,animal_only
349,looks_like_a_snake,animal_only
350,moos,animal_only
351,produces_blub-sound,animal_only
352,raised_by_bee-keeper,animal_only
353,resembles_camels,animal_only
354,says_heehaw,animal_only
355,swallows_its_prey_in_its_entirety,animal_only
356,waddles,animal_only
357,can_become_pest,animal_only
358,can_loose_its_tail,animal_only
359,catches_mice,animal_only
360,difficult_to_exterminate,animal_only
361,doesn't_sting,animal_only
362,extracts_nectar_from_flowers,animal_only
363,has_a_beautiful_tail,animal_only
364,has_a_red_dewlap,animal_only
365,has_a_yellow_bill,animal_only
366,has_eight_arms,animal_only
367,hides_easily,animal_only
368,intelligent,animal_only
369,is_a_type_of_whale,animal_only
370,is_afraid_of_people,animal_only
371,is_good_at_diving,animal_only
372,"is_grey,_black_and_white",animal_only
373,leaves_stings,animal_only
374,often_sits_in_parks,animal_only
375,often_sits_still,animal_only
376,prey,animal_only
377,produces_nits,animal_only
378,stubborn,animal_only
379,swims_in_rivers,animal_only
380,the_male_occurs_in_different_colours,animal_only
381,wakes_up,animal_only
382,can_be_caught,animal_only
383,can_be_filled_up,animal_only
384,can_be_won_at_a_fair,animal_only
385,can_cause_much_hinder,animal_only
386,can_purr,animal_only
387,exists_for_ages,animal_only
388,family_of_the_horse,animal_only
389,has_an_airhole,animal_only
390,has_an_udder,animal_only
391,is_a_carnivore_and_herbivore,animal_only
392,is_a_male_chicken,animal_only
393,is_bigger_than_a_chicken,animal_only
394,is_lethal,animal_only
395,is_round,both
396,is_silvery,animal_only
397,is_used_on_pizza's,animal_only
398,lives_in_caves,animal_only
399,lives_in_the_dark,animal_only
400,lives_in_tropical_waters,animal_only
401,lives_on_the_north_pole,animal_only
402,loyal,animal_only
403,prehistoric_animal,animal_only
404,roar,animal_only
405,appears_in_songs,animal_only
406,builds_dams,animal_only
407,can_be_trained,animal_only
408,can_climb_well,animal_only
409,can_see_in_the_dark,animal_only
410,crows,animal_only
411,doesn't_live_on_land,animal_only
412,eats_nuts,animal_only
413,gets_lambs,animal_only
414,has_camouflage,animal_only
415,has_long_hind_legs,animal_only
416,is_found_in_advertising_or_as_brand_,animal_only
417,is_not_eaten,animal_only
418,is_vermin,animal_only
419,is_yellow_with_brown_spots,animal_only
420,live_in_the_mountains,animal_only
421,lives_in_America,animal_only
422,lives_in_unhygienic_places,animal_only
423,makes_a_strange_noise,animal_only
424,makes_an_'oehoe'_sound,animal_only
425,makes_holes_in_trees,animal_only
426,striped,animal_only
427,comes_out_of_a_cocoon,animal_only
428,communicates_with_its_congeners,animal_only
429,cumbersome,animal_only
430,family_of_the_dog,animal_only
431,flutters,animal_only
432,has_a_horn,both
433,has_a_small_tail,animal_only
434,has_beautiful_feathers,animal_only
435,has_horns,animal_only
436,has_two_wings,animal_only
437,is_a_girl's_name,animal_only
438,is_a_symbol_for_peace,animal_only
439,is_dumb,animal_only
440,"is_grey,_brown_or_white",animal_only
441,is_initially_a_caterpillar_,animal_only
442,is_killed_by_man,animal_only
443,is_messy,animal_only
444,is_often_found_under_rocks,animal_only
445,is_smart,animal_only
446,lives_in_fields,animal_only
447,turns_in_its_shell_in_danger,animal_only
448,writhes_(twists),animal_only
449,beautiful_colours,animal_only
450,big_ears,animal_only
451,bleats.1,animal_only
452,can_be_cooked_in_different_ways,animal_only
453,can_be_dangerous,animal_only
454,compound_eyes,animal_only
455,creaks_when_killed,animal_only
456,curly_tail,animal_only
457,glides,animal_only
458,has_a_fin_on_its_back,animal_only
459,has_a_sharp_view,animal_only
460,has_peepers,animal_only
461,has_queen,animal_only
462,is_a_type_of_bee,animal_only
463,is_a_type_of_butterfly,animal_only
464,is_also_a_sharp,animal_only
465,is_found_in_the_garden,animal_only
466,kind_of_crocodile,animal_only
467,kind_of_lizard,animal_only
468,occasionally_washes_ashore,animal_only
469,skin_can_be_used_for_clothes,animal_only
470,somtimes_used_in_a_circus,animal_only
471,squirts_water_through_an_airhole,animal_only
472,sticks_its_head_into_the_ground,animal_only
473,tickles,animal_only
474,can_be_found_in_a_fish_shop,animal_only
475,eats_leaves_from_trees,animal_only
476,eats_rats_and_mice,animal_only
477,has_tusks,animal_only
478,has_white_and_black_stripes,animal_only
479,hibernates,animal_only
480,is_found_on_plants,animal_only
481,is_in_a_cuckoo_clock,animal_only
482,is_orange,animal_only
483,is_popular_among_children,animal_only
484,is_red_with_black_spots,animal_only
485,is_well_camouflaged,animal_only
486,lays_big_eggs,animal_only
487,live_alone,animal_only
488,makes_a_'coo'_sound,animal_only
489,often_becoms_a_cat's_prey,animal_only
490,predecessor_of_humans,animal_only
491,says_cuckoo,animal_only
492,shoes_and_handbags_are_made_of_it,animal_only
493,squirts_ink,animal_only
494,you_can_find_them_in_homes,animal_only
495,becomes_cocoon,animal_only
496,can_live_to_a_ripe_old_age,animal_only
497,has_a_crest,animal_only
498,has_antlers,animal_only
499,is_a_character_in_Free_Willy,animal_only
500,is_brown/black,animal_only
501,is_dangerous_to_people,animal_only
502,is_intelligent,animal_only
503,is_reddish_brow,animal_only
504,is_used_in_stewed_eels_in_chervil_sauce,animal_only
505,makes_a_sound_like_a_grunt,animal_only
506,makes_holes_in_clothing,animal_only
507,sleeps_upside_down,animal_only
508,barks,animal_only
509,graceful,animal_only
510,grey-white,animal_only
511,has_a_red_breast,animal_only
512,is_eaten_when_it's_Christmas,animal_only
513,is_elongated,both
514,is_proud,animal_only
515,"is_red,_brown",animal_only
516,is_small,both
517,king_of_animals,animal_only
518,likes_rolling_in_mud,animal_only
519,makes_not_much_noise,animal_only
520,reproduces_fast,animal_only
521,spits,animal_only
522,attaches_to_the_body,animal_only
523,bushy_tail,animal_only
524,has_whiskers,animal_only
525,is_sly,animal_only
526,is_specked,animal_only
527,lives_on_when_split_in_half,animal_only
528,makes_a_squeaky_sound,animal_only
529,often_run_over_by_cars,animal_only
530,sheared_for_wool,animal_only
531,swims_in_aquariums,animal_only
532,transferable,animal_only
533,eats_bread,animal_only
534,is_a_thief,animal_only
535,is_strong,both
536,lives_in_a_hole,animal_only
537,lives_in_australia,animal_only
538,marsupial,animal_only
539,rolls_up_in_danger,animal_only
540,swims_in_a_bowl_,animal_only
541,tasts_salty,animal_only
542,comes_up_to_light,animal_only
543,has_an_orange_bill,animal_only
544,has_long_ears,animal_only
545,is_a_salt-water_fish,animal_only
546,is_inconspicious,animal_only
547,is_used_in_competitions,animal_only
548,is_used_in_shows,animal_only
549,occurs_frequently,animal_only
550,sits_on_flowers,animal_only
551,doesn't_live_long,animal_only
552,feline,animal_only
553,has_eight_paws,animal_only
554,has_hoofs,animal_only
555,is_found_in_hair,animal_only
556,is_grisly,animal_only
557,resembles_horses,animal_only
558,thick_skin,animal_only
559,used_as_a_beast_of_burden,animal_only
560,can_be_aggressive,animal_only
561,can_talk,animal_only
562,eats_seed,animal_only
563,has_a_big_bill,animal_only
564,has_sharp_claws.1,animal_only
565,is_cold-blooded,animal_only
566,is_extinct,animal_only
567,makes_honey,animal_only
568,soft_fur,animal_only
569,adores_sweetness,animal_only
570,brings_children,animal_only
571,chirps.1,animal_only
572,does_not_migrate_in_the_winter,animal_only
573,eats_mice,animal_only
574,has_a_big_mouth,animal_only
575,is_a_scavenging_animal,animal_only
576,is_found_in_a_pond,animal_only
577,is_funny,animal_only
578,is_red,both
579,lives_in_a_damp_climate,animal_only
580,makes_an_extremely_irritating_sound,animal_only
581,strangles_its_prey,animal_only
582,eats_small_animals,animal_only
583,has_a_hunch,animal_only
584,has_a_trunk,animal_only
585,is_not_very_popular_among_man,animal_only
586,is_tinned,animal_only
587,lives_by_the_sea,animal_only
588,sheds_its_skin,animal_only
589,shy,animal_only
590,can_be_bred,animal_only
591,has_large_theeth,animal_only
592,has_manes,animal_only
593,is_terrifying,animal_only
594,lives_in_the_jungle,animal_only
595,lives_on_land__,animal_only
596,strong_animal,animal_only
597,eats_grain,animal_only
598,eats_plankton,animal_only
599,gives_pain,animal_only
600,has_a_split_tongue,animal_only
601,has_eyes,animal_only
602,has_large_eyes,animal_only
603,has_teeth,both
604,lives_in_cold_areas,animal_only
605,makes_web,animal_only
606,does_not_taste_well,animal_only
607,has_a_sting,animal_only
608,is_fin-footed,animal_only
609,is_sometimes_eaten_by_man,animal_only
610,is_sweet_,animal_only
611,has_a_large_wingspread,animal_only
612,has_short_paws,animal_only
613,has_two_eyes,animal_only
614,lives_in_the_ocean,animal_only
615,lives_under_the_ground,animal_only
616,gives_milk,animal_only
617,is_not_dangerous,animal_only
618,stands_in_meadows,animal_only
619,can't_fly,animal_only
620,cartoon_figure,animal_only
621,has_many_paws,animal_only
622,has_prickles,animal_only
623,incites_fear,animal_only
624,is_exterminated,animal_only
625,is_rare,both
626,lives_in_nature,animal_only
627,small_and_large_kinds,animal_only
628,doesn't_live_in_our_country,animal_only
629,has_a_long_bill,animal_only
630,is_smooth,animal_only
631,lives_on_land_and_sea,animal_only
632,hunts,animal_only
633,lives_in_grass,animal_only
634,lives_in_tropical_areas,animal_only
635,rodent,animal_only
636,dark_colour,animal_only
637,frightens_people,animal_only
638,is_pink,animal_only
639,occasionally_occurs_in_films,animal_only
640,feels_soft,animal_only
641,has_a_fur_(in_dutch:_vacht),animal_only
642,has_no_paws,animal_only
643,is_slimy,animal_only
644,is_ugly,both
645,makes_a_sharp_sound,animal_only
646,sings,animal_only
647,is_a_migratory_bird,animal_only
648,is_an_amphibian,animal_only
649,takes_on_the_colour_of_its_surroundings,animal_only
650,doesn't_make_a_sound,animal_only
651,has_a_long_tongue,animal_only
652,is_eaten_by_birds,animal_only
653,can_be_poisonous,animal_only
654,eats_worms,animal_only
655,has_claws,animal_only
656,lives_in_the_desert,animal_only
657,lives_nearby_the_water,animal_only
658,makes_a_hissing_noise,animal_only
659,is_poisonous,animal_only
660,is_thik,animal_only
661,lives_in_a_herd,animal_only
662,you_can_ride_on_it,animal_only
663,has_bones,animal_only
664,sings_(whistles),animal_only
665,appears_in_fairy_tales_and_stories,animal_only
666,yellow,animal_only
667,has_legs.1,animal_only
668,is_a_freshwater_fish,animal_only
669,is_a_bird_of_prey,animal_only
670,lives_in_the_wild,animal_only
671,has_a_pointed_mouth,animal_only
672,does_not_live_in_Belgium,animal_only
673,heavy,animal_only
674,lives_on_a_farm,animal_only
675,is_cute,animal_only
676,is_irritating,animal_only
677,quacks,animal_only
678,makes_a_lot_of_clamor,animal_only
679,sucks_blood,animal_only
680,bites,animal_only
681,can_jump_far,animal_only
682,eats_grass,animal_only
683,hairy,animal_only
684,is_yellow_and_black,animal_only
685,exists_in_different_sizes_and_kinds,animal_only
686,causes_itching,animal_only
687,is_slow,animal_only
688,is_green-brown,animal_only
689,kind_of_snake,animal_only
690,has_feelers,animal_only
691,is_an_animal_of_prey,animal_only
692,lives_in_trees,animal_only
693,lives_in_a_cage,animal_only
694,is_flat,both
695,jumps,animal_only
696,makes_a_sound,animal_only
697,can_have_different_colors,animal_only
698,has_long_paws,animal_only
699,runs_fast,animal_only
700,the_meat_is_eaten,animal_only
701,has_a_long_neck,animal_only
702,stinks,both
703,is_hunted,animal_only
704,lives_in_warm_countries,animal_only
705,has_a_shield,animal_only
706,has_a_long_tail,animal_only
707,buzzes,animal_only
708,crawls,animal_only
709,has_many_colours,animal_only
710,has_six_paws,animal_only
711,is_beautiful,both
712,nocturnal_animal,animal_only
713,is_a_carnivore,animal_only
714,is_long,both
715,endangered_species,animal_only
716,eats_plants,animal_only
717,is_slippery,both
718,seen_mainly_in_summer,animal_only
719,is_nasty,animal_only
720,stings,animal_only
721,lives_in_Africa,animal_only
722,is_black_and_white,both
723,is_fished_for,animal_only
724,has_sharp_teeth,animal_only
725,is_fast,animal_only
726,is_tasty,animal_only
727,there_are_many_kinds_of_it,animal_only
728,eats_insects,animal_only
729,builds_nests,animal_only
730,has_two_paws,animal_only
731,has_gills,animal_only
732,has_fins,animal_only
733,is_white,both
734,lives_in_the_woods,animal_only
735,is_a_reptile,animal_only
736,eats_fish,animal_only
737,has_a_bill,animal_only
738,can_swim,animal_only
739,is_a_pet,animal_only
740,is_black,both
741,herds,animal_only
742,has_scales,animal_only
743,lives_in_the_zoo,animal_only
744,has_a_tail,both
745,lives_in_the_sea,animal_only
746,is_green,both
747,has_feathers,animal_only
748,is_dangerous,both
749,is_grey,both
750,has_four_paws,animal_only
751,is_edible,animal_only
752,lives_in_water,animal_only
753,has_wings,both
754,is_brown,both
755,lays_eggs,animal_only
756,is_a_fish,animal_only
757,mammal,animal_only
758,is_an_insect,animal_only
759,can_fly,animal_only
760,is_big,both
761,is_an_animal,animal_only
762,is_a_bird,animal_only
763,is_small.1,animal_only
764,a_kind_of_thumbtack,artifacts_only
765,a_synonym_is_'schuiftrompet',artifacts_only
766,accompagnies_(other)_music,artifacts_only
767,also_called_crowbar,artifacts_only
768,also_used_as_a_toy,artifacts_only
769,are_a_sort_of_shoes,artifacts_only
770,are_swimming_trunks_for_men,artifacts_only
771,are_underpants,artifacts_only
772,arrives_in_a_port,artifacts_only
773,associated_with_kilt,artifacts_only
774,baked_in_an_oven,artifacts_only
775,be_used_to_hit_nails_into_the_wall,artifacts_only
776,belongs_to_a_harnas,artifacts_only
777,belongs_to_a_horse,artifacts_only
778,belongs_to_De_lijn_(public_transportation_firm_in_Flanders),artifacts_only
779,belongs_to_knife_and_fork,artifacts_only
780,belongs_with_sportshoes,artifacts_only
781,boils_water,artifacts_only
782,both_hands_and_feet_are_used,artifacts_only
783,both_large_and_small,artifacts_only
784,bought_in_a_shoe_store,artifacts_only
785,bought_in_a_store,artifacts_only
786,bought_in_an_underwear_store,artifacts_only
787,can_be_a_rainbow,artifacts_only
788,can_be_a_status_symbol,artifacts_only
789,can_be_a_wound_:_abrasion,artifacts_only
790,can_be_acoustic,artifacts_only
791,can_be_automatized,artifacts_only
792,can_be_bought_everywhere,artifacts_only
793,can_be_bought_in_sports_store,artifacts_only
794,can_be_brought_to_the_beach,artifacts_only
795,can_be_carried,artifacts_only
796,can_be_carried_backwards,artifacts_only
797,can_be_carried_by_anyone,artifacts_only
798,can_be_coloured,artifacts_only
799,can_be_connected_to_a_car,artifacts_only
800,can_be_connected_to_an_amplifier,artifacts_only
801,can_be_decorated,artifacts_only
802,can_be_digital,artifacts_only
803,can_be_dishwashed,artifacts_only
804,can_be_electronic,artifacts_only
805,can_be_found_around_your_fingers,artifacts_only
806,can_be_found_in_a_forest,artifacts_only
807,can_be_found_in_a_garage,artifacts_only
808,can_be_found_on_a_camping,artifacts_only
809,can_be_found_on_a_castle,artifacts_only
810,can_be_hanged_on_the_nose,artifacts_only
811,can_be_held,artifacts_only
812,can_be_knit_by_yourself,artifacts_only
813,can_be_knotted,artifacts_only
814,can_be_luxurious,artifacts_only
815,can_be_made_of_different_materials,artifacts_only
816,can_be_made_of_different_tissues,artifacts_only
817,can_be_manufactured_by_yourself,artifacts_only
818,can_be_opened,artifacts_only
819,can_be_operated_from_the_age_of_16,artifacts_only
820,can_be_operated_from_the_age_of_18,artifacts_only
821,can_be_played_on,artifacts_only
822,can_be_played_upon,artifacts_only
823,can_be_plunked_upon,artifacts_only
824,can_be_printed_with_a_design,artifacts_only
825,can_be_seen_on_television,artifacts_only
826,can_be_something_at_a_door,artifacts_only
827,can_be_thick_or_thin,artifacts_only
828,can_be_tuned,artifacts_only
829,can_be_turned,artifacts_only
830,can_be_used_as_a_heater,artifacts_only
831,can_be_used_as_weapon,artifacts_only
832,can_be_used_by_anyone,artifacts_only
833,can_be_used_for_stirring,artifacts_only
834,can_be_used_on_two_sides,artifacts_only
835,can_be_used_several_times,artifacts_only
836,can_be_used_to_beat_egg_white,artifacts_only
837,can_be_used_to_cut_nails,artifacts_only
838,can_be_used_to_hang_something_from,artifacts_only
839,can_be_used_to_hang_up_something,artifacts_only
840,can_be_used_to_hit_somebody,artifacts_only
841,can_be_used_to_lash,artifacts_only
842,can_be_used_to_make_milkshake_with,artifacts_only
843,can_be_used_to_polish_nails,artifacts_only
