,Anchor,Concept1,Concept2,Category,prompt,gpt_response,gpt_choice
29,Oil can,Chisel,Crocodile,tool,"Answer using only only word - ""Chisel"" or ""Crocodile"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","O""",fill manually
30,Chisel,Alligator,Saw,tool,"Answer using only only word - ""Alligator"" or ""Saw"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Alligator""",Alligator
31,Tortoise,Grinding disk,Oil can,reptile,"Answer using only only word - ""Grinding disk"" or ""Oil can"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Tortoise""",Fill manually
32,Grinding disk,Blindworm,Oil can,tool,"Answer using only only word - ""Blindworm"" or ""Oil can"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Oil can""",Oil can
33,Toad,Hammer,Lawn Mower,reptile,"Answer using only only word - ""Hammer"" or ""Lawn Mower"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Hammer""",Hammer
34,Knife,Gecko,Lizard,tool,"Answer using only only word - ""Gecko"" or ""Lizard"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Gecko""",Gecko
35,Caiman,Chameleon,Spanner,reptile,"Answer using only only word - ""Chameleon"" or ""Spanner"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Chameleon""",Chameleon
36,Oil can,Chisel,Gecko,tool,"Answer using only only word - ""Chisel"" or ""Gecko"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Gecko,Gecko
37,Crocodile,Grinding disk,Turtle,reptile,"Answer using only only word - ""Grinding disk"" or ""Turtle"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","turtle""",fill manually
38,Nail,Knife,Lawn Mower,tool,"Answer using only only word - ""Knife"" or ""Lawn Mower"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
39,Snake,Knife,Oil can,reptile,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Knife,Knife
40,Lawn Mower,Axe,Caiman,tool,"Answer using only only word - ""Axe"" or ""Caiman"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Caiman""",Caiman
41,Anvil,Lizard,Saw,tool,"Answer using only only word - ""Lizard"" or ""Saw"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Saw""",Saw
42,Shovel,Cobra,Toad,tool,"Answer using only only word - ""Cobra"" or ""Toad"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Toad,Toad
43,Alligator,Blindworm,Lawn Mower,reptile,"Answer using only only word - ""Blindworm"" or ""Lawn Mower"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","Alli""",fill manually
44,Crocodile,Cobra,Salamander,reptile,"Answer using only only word - ""Cobra"" or ""Salamander"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Cobra""",Cobra
45,Caiman,Chisel,Salamander,reptile,"Answer using only only word - ""Chisel"" or ""Salamander"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Salamander""",Salamander
46,Chisel,Paint brush,Saw,tool,"Answer using only only word - ""Paint brush"" or ""Saw"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Ch""",fill manually
47,Grinding disk,Blindworm,Knife,tool,"Answer using only only word - ""Blindworm"" or ""Knife"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Knife""",Knife
48,Saw,Gecko,Salamander,tool,"Answer using only only word - ""Gecko"" or ""Salamander"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Gecko""",Gecko
49,Knife,Lawn Mower,Vacuum,tool,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Knife""",Fill manually
50,Crocodile,Hammer,Spanner,reptile,"Answer using only only word - ""Hammer"" or ""Spanner"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Hammer""",Hammer
51,Grinding disk,Hammer,Screwdriver,tool,"Answer using only only word - ""Hammer"" or ""Screwdriver"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Hammer""",Hammer
52,Toad,Paint brush,Tortoise,reptile,"Answer using only only word - ""Paint brush"" or ""Tortoise"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Paint brush""",Paint brush
53,Screwdriver,Axe,Dinosaur,tool,"Answer using only only word - ""Axe"" or ""Dinosaur"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","Axe""",Axe
54,Oil can,Axe,Snake,tool,"Answer using only only word - ""Axe"" or ""Snake"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Snake""",Snake
55,Nail,Dinosaur,Oil can,tool,"Answer using only only word - ""Dinosaur"" or ""Oil can"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
56,Oil can,Snake,Toad,tool,"Answer using only only word - ""Snake"" or ""Toad"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Toad,Toad
57,Axe,Gecko,Vacuum,tool,"Answer using only only word - ""Gecko"" or ""Vacuum"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Gecko,Gecko
58,Toad,Caiman,Oil can,reptile,"Answer using only only word - ""Caiman"" or ""Oil can"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Caiman""",Caiman
59,Shovel,Dinosaur,Lawn Mower,tool,"Answer using only only word - ""Dinosaur"" or ""Lawn Mower"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Dinosaur""",Dinosaur
60,Hammer,Anvil,Lizard,tool,"Answer using only only word - ""Anvil"" or ""Lizard"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Anvil""",Anvil
61,Salamander,Blindworm,Tortoise,reptile,"Answer using only only word - ""Blindworm"" or ""Tortoise"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","salamander""",fill manually
62,Chameleon,Boa python,Toad,reptile,"Answer using only only word - ""Boa python"" or ""Toad"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",Toads are amphibians.,Toad
63,Crocodile,Alligator,Screwdriver,reptile,"Answer using only only word - ""Alligator"" or ""Screwdriver"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Alligator""",Alligator
64,Lizard,Gecko,Turtle,reptile,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Li""",fill manually
65,Crocodile,Gecko,Turtle,reptile,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","C""",fill manually
66,Anvil,Crocodile,Grinding disk,tool,"Answer using only only word - ""Crocodile"" or ""Grinding disk"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Crocodile""",Crocodile
67,Anvil,Caiman,Knife,tool,"Answer using only only word - ""Caiman"" or ""Knife"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","Anvil""",Fill manually
68,Salamander,Alligator,Nail,reptile,"Answer using only only word - ""Alligator"" or ""Nail"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Nail""",Nail
69,Grinding disk,Axe,Dinosaur,tool,"Answer using only only word - ""Axe"" or ""Dinosaur"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?",Axe,Axe
70,Snake,Chisel,Vacuum,reptile,"Answer using only only word - ""Chisel"" or ""Vacuum"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","""",fill manually
71,Toad,Crocodile,Lizard,reptile,"Answer using only only word - ""Crocodile"" or ""Lizard"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","Crocodile""",Crocodile
72,Axe,Salamander,Turtle,tool,"Answer using only only word - ""Salamander"" or ""Turtle"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","Salamander""",Salamander
73,Saw,Cobra,Turtle,tool,"Answer using only only word - ""Cobra"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Cobra,Cobra
74,Blindworm,Caiman,Cobra,reptile,"Answer using only only word - ""Caiman"" or ""Cobra"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Caiman,Caiman
75,Chameleon,Alligator,Oil can,reptile,"Answer using only only word - ""Alligator"" or ""Oil can"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Alligator""",Alligator
76,Lawn Mower,Cobra,Screwdriver,tool,"Answer using only only word - ""Cobra"" or ""Screwdriver"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Cobra""",Cobra
77,Screwdriver,Paint brush,Salamander,tool,"Answer using only only word - ""Paint brush"" or ""Salamander"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?",paint brush,fill manually
78,Lawn Mower,Anvil,Knife,tool,"Answer using only only word - ""Anvil"" or ""Knife"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Anvil""",Anvil
79,Snake,Boa python,Chameleon,reptile,"Answer using only only word - ""Boa python"" or ""Chameleon"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",morphology,fill manually
80,Vacuum,Lizard,Paint brush,tool,"Answer using only only word - ""Lizard"" or ""Paint brush"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","Vac"" is a slang word for a vacuum cleaner.",fill manually
81,Boa python,Dinosaur,Saw,reptile,"Answer using only only word - ""Dinosaur"" or ""Saw"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",the way they move,fill manually
82,Blindworm,Salamander,Snake,reptile,"Answer using only only word - ""Salamander"" or ""Snake"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","Snake""",Snake
83,Nail,Lizard,Screwdriver,tool,"Answer using only only word - ""Lizard"" or ""Screwdriver"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
84,Chameleon,Knife,Oil can,reptile,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",Oil can,Oil can
85,Chisel,Knife,Lawn Mower,tool,"Answer using only only word - ""Knife"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","lawn mower""",fill manually
86,Knife,Anvil,Axe,tool,"Answer using only only word - ""Anvil"" or ""Axe"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Anvil""",Anvil
87,Nail,Cobra,Crocodile,tool,"Answer using only only word - ""Cobra"" or ""Crocodile"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Cobra""",Cobra
88,Lizard,Hammer,Nail,reptile,"Answer using only only word - ""Hammer"" or ""Nail"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Hammer""",Hammer
89,Nail,Spanner,Turtle,tool,"Answer using only only word - ""Spanner"" or ""Turtle"" and not ""Nail"".Which is more similar in meaning to ""Nail""?",Spanner,Spanner
90,Crocodile,Salamander,Tortoise,reptile,"Answer using only only word - ""Salamander"" or ""Tortoise"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",turtle,fill manually
91,Tortoise,Chisel,Spanner,reptile,"Answer using only only word - ""Chisel"" or ""Spanner"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Spanner""",Spanner
92,Gecko,Anvil,Cobra,reptile,"Answer using only only word - ""Anvil"" or ""Cobra"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?",Anvil,Anvil
93,Caiman,Lizard,Shovel,reptile,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Caiman""",Fill manually
94,Snake,Paint brush,Vacuum,reptile,"Answer using only only word - ""Paint brush"" or ""Vacuum"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","Paint brush""",Paint brush
95,Saw,Alligator,Toad,tool,"Answer using only only word - ""Alligator"" or ""Toad"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",Toad,Toad
96,Chisel,Blindworm,Boa python,tool,"Answer using only only word - ""Blindworm"" or ""Boa python"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?",snake,fill manually
97,Boa python,Nail,Shovel,reptile,"Answer using only only word - ""Nail"" or ""Shovel"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?",nail,fill manually
98,Dinosaur,Lawn Mower,Vacuum,reptile,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","lawn mower""",fill manually
99,Oil can,Chameleon,Grinding disk,tool,"Answer using only only word - ""Chameleon"" or ""Grinding disk"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Grinding disk""",Grinding disk
100,Grinding disk,Blindworm,Cobra,tool,"Answer using only only word - ""Blindworm"" or ""Cobra"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Cobra""",Cobra
101,Chameleon,Grinding disk,Toad,reptile,"Answer using only only word - ""Grinding disk"" or ""Toad"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",Toad,Toad
102,Toad,Gecko,Shovel,reptile,"Answer using only only word - ""Gecko"" or ""Shovel"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Shovel,Shovel
103,Toad,Axe,Salamander,reptile,"Answer using only only word - ""Axe"" or ""Salamander"" and not ""Toad"".Which is more similar in meaning to ""Toad""?",Axe,Axe
104,Chisel,Alligator,Lawn Mower,tool,"Answer using only only word - ""Alligator"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Ch""",fill manually
105,Chisel,Anvil,Oil can,tool,"Answer using only only word - ""Anvil"" or ""Oil can"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","Anvil""",Anvil
106,Paint brush,Caiman,Vacuum,tool,"Answer using only only word - ""Caiman"" or ""Vacuum"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Caiman""",Caiman
107,Knife,Alligator,Gecko,tool,"Answer using only only word - ""Alligator"" or ""Gecko"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Alligator""",Alligator
108,Hammer,Blindworm,Salamander,tool,"Answer using only only word - ""Blindworm"" or ""Salamander"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Blindworm""",Blindworm
109,Nail,Crocodile,Knife,tool,"Answer using only only word - ""Crocodile"" or ""Knife"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
110,Crocodile,Alligator,Grinding disk,reptile,"Answer using only only word - ""Alligator"" or ""Grinding disk"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Alligator""",Alligator
111,Alligator,Boa python,Chameleon,reptile,"Answer using only only word - ""Boa python"" or ""Chameleon"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?",Boa python,Boa python
112,Saw,Toad,Tortoise,tool,"Answer using only only word - ""Toad"" or ""Tortoise"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Sa"" is a slang word for a woman",fill manually
113,Turtle,Knife,Salamander,reptile,"Answer using only only word - ""Knife"" or ""Salamander"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",Knife,Knife
114,Anvil,Lawn Mower,Snake,tool,"Answer using only only word - ""Lawn Mower"" or ""Snake"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","lawn mower""",fill manually
115,Hammer,Chameleon,Crocodile,tool,"Answer using only only word - ""Chameleon"" or ""Crocodile"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","Hammer""",Fill manually
116,Grinding disk,Salamander,Saw,tool,"Answer using only only word - ""Salamander"" or ""Saw"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","Saw""",Saw
117,Crocodile,Lizard,Shovel,reptile,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","Crocodile""",Fill manually
118,Blindworm,Boa python,Lawn Mower,reptile,"Answer using only only word - ""Boa python"" or ""Lawn Mower"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",lawn mower,fill manually
119,Dinosaur,Crocodile,Shovel,reptile,"Answer using only only word - ""Crocodile"" or ""Shovel"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Crocodile""",Crocodile
120,Oil can,Anvil,Chameleon,tool,"Answer using only only word - ""Anvil"" or ""Chameleon"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?",Anvil,Anvil
121,Lizard,Caiman,Grinding disk,reptile,"Answer using only only word - ""Caiman"" or ""Grinding disk"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Caiman""",Caiman
122,Shovel,Cobra,Spanner,tool,"Answer using only only word - ""Cobra"" or ""Spanner"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?",Spanner,Spanner
123,Chameleon,Chisel,Gecko,reptile,"Answer using only only word - ""Chisel"" or ""Gecko"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?",Chisel,Chisel
124,Lawn Mower,Knife,Snake,tool,"Answer using only only word - ""Knife"" or ""Snake"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?",a sharp object that can cut or pierce,fill manually
125,Salamander,Alligator,Blindworm,reptile,"Answer using only only word - ""Alligator"" or ""Blindworm"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","Alligator""",Alligator
126,Tortoise,Axe,Oil can,reptile,"Answer using only only word - ""Axe"" or ""Oil can"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?",Axe,Axe
127,Crocodile,Lawn Mower,Lizard,reptile,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?",lawn mower,fill manually
128,Saw,Blindworm,Boa python,tool,"Answer using only only word - ""Blindworm"" or ""Boa python"" and not ""Saw"".Which is more similar in meaning to ""Saw""?",blindworm,fill manually
129,Dinosaur,Snake,Spanner,reptile,"Answer using only only word - ""Snake"" or ""Spanner"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","Di""",fill manually
130,Salamander,Toad,Turtle,reptile,"Answer using only only word - ""Toad"" or ""Turtle"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","salamander""",fill manually
131,Vacuum,Spanner,Turtle,tool,"Answer using only only word - ""Spanner"" or ""Turtle"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?",Spanner,Spanner
132,Snake,Boa python,Paint brush,reptile,"Answer using only only word - ""Boa python"" or ""Paint brush"" and not ""Snake"".Which is more similar in meaning to ""Snake""?",Paint brush,Paint brush
133,Salamander,Axe,Oil can,reptile,"Answer using only only word - ""Axe"" or ""Oil can"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?",Axe,Axe
134,Axe,Dinosaur,Gecko,tool,"Answer using only only word - ""Dinosaur"" or ""Gecko"" and not ""Axe"".Which is more similar in meaning to ""Axe""?",Axe,Fill manually
135,Chameleon,Knife,Nail,reptile,"Answer using only only word - ""Knife"" or ""Nail"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Nail""",Nail
136,Paint brush,Knife,Oil can,tool,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","Knife""",Knife
137,Tortoise,Blindworm,Cobra,reptile,"Answer using only only word - ""Blindworm"" or ""Cobra"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","Cobra""",Cobra
138,Oil can,Dinosaur,Vacuum,tool,"Answer using only only word - ""Dinosaur"" or ""Vacuum"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","Vacuum""",Vacuum
139,Lizard,Axe,Spanner,reptile,"Answer using only only word - ""Axe"" or ""Spanner"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?",Spanner,Spanner
140,Caiman,Cobra,Turtle,reptile,"Answer using only only word - ""Cobra"" or ""Turtle"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","Cobra""",Cobra
141,Lizard,Snake,Toad,reptile,"Answer using only only word - ""Snake"" or ""Toad"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Li""",fill manually
142,Saw,Nail,Salamander,tool,"Answer using only only word - ""Nail"" or ""Salamander"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Nail""",Nail
143,Shovel,Dinosaur,Saw,tool,"Answer using only only word - ""Dinosaur"" or ""Saw"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","Saw""",Saw
144,Knife,Anvil,Gecko,tool,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","Anvil""",Anvil
145,Saw,Hammer,Turtle,tool,"Answer using only only word - ""Hammer"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","Hammer""",Hammer
146,Lawn Mower,Gecko,Snake,tool,"Answer using only only word - ""Gecko"" or ""Snake"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","Gecko""",Gecko
147,Paint brush,Knife,Tortoise,tool,"Answer using only only word - ""Knife"" or ""Tortoise"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?",knife,fill manually
148,Turtle,Boa python,Vacuum,reptile,"Answer using only only word - ""Boa python"" or ""Vacuum"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?",vacuum is a python,fill manually
149,Chameleon,Hammer,Snake,reptile,"Answer using only only word - ""Hammer"" or ""Snake"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","Hammer""",Hammer
150,Screwdriver,Crocodile,Lizard,tool,"Answer using only only word - ""Crocodile"" or ""Lizard"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?",crocodile,fill manually
151,Nail,Lizard,Paint brush,tool,"Answer using only only word - ""Lizard"" or ""Paint brush"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","Nail""",Fill manually
152,Blindworm,Spanner,Turtle,reptile,"Answer using only only word - ""Spanner"" or ""Turtle"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?",Spanner,Spanner
153,Lizard,Knife,Saw,reptile,"Answer using only only word - ""Knife"" or ""Saw"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","Knife""",Knife
154,Anvil,Chisel,Tortoise,tool,"Answer using only only word - ""Chisel"" or ""Tortoise"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","chisel is a sharp tool used to cut wood or stone""",fill manually
155,Alligator,Axe,Saw,reptile,"Answer using only only word - ""Axe"" or ""Saw"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?",Axe,Axe
