<<<<<<< HEAD
,Anchor,Concept1,Concept2,Category,estimated_tokens,real_tokens,prompt,gpt_response,gpt_choice
24,Lawn Mower,Alligator,Shovel,tool,43.0,45,"Answer using only only word - ""Alligator"" or ""Shovel"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Shovel",Shovel
25,Spanner,Nail,Salamander,tool,41.0,43,"Answer using only only word - ""Nail"" or ""Salamander"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?","

Nail",Nail
26,Boa python,Caiman,Turtle,reptile,42.0,42,"Answer using only only word - ""Caiman"" or ""Turtle"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Caiman",Caiman
27,Cobra,Anvil,Hammer,reptile,39.0,42,"Answer using only only word - ""Anvil"" or ""Hammer"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Hammer",Hammer
28,Chameleon,Grinding disk,Shovel,reptile,43.0,44,"Answer using only only word - ""Grinding disk"" or ""Shovel"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Grinding disk",Grinding disk
29,Saw,Chameleon,Lawn Mower,tool,40.0,43,"Answer using only only word - ""Chameleon"" or ""Lawn Mower"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Chameleon",Chameleon
30,Vacuum,Crocodile,Toad,tool,40.0,44,"Answer using only only word - ""Crocodile"" or ""Toad"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Crocodile",Crocodile
31,Cobra,Chameleon,Turtle,reptile,40.0,43,"Answer using only only word - ""Chameleon"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Chameleon",Chameleon
32,Salamander,Blindworm,Grinding disk,reptile,44.0,44,"Answer using only only word - ""Blindworm"" or ""Grinding disk"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Blindworm",Blindworm
33,Chisel,Grinding disk,Lawn Mower,tool,43.0,43,"Answer using only only word - ""Grinding disk"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Grinding disk",Grinding disk
34,Nail,Dinosaur,Grinding disk,tool,41.0,41,"Answer using only only word - ""Dinosaur"" or ""Grinding disk"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Dinosaur",Dinosaur
35,Cobra,Anvil,Chameleon,reptile,40.0,43,"Answer using only only word - ""Anvil"" or ""Chameleon"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Anvil",Anvil
36,Grinding disk,Lizard,Nail,tool,43.0,42,"Answer using only only word - ""Lizard"" or ""Nail"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Nail",Nail
37,Nail,Turtle,Vacuum,tool,39.0,41,"Answer using only only word - ""Turtle"" or ""Vacuum"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Turtle",Turtle
38,Gecko,Anvil,Grinding disk,reptile,41.0,41,"Answer using only only word - ""Anvil"" or ""Grinding disk"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","

Anvil",Anvil
39,Toad,Salamander,Turtle,reptile,40.0,41,"Answer using only only word - ""Salamander"" or ""Turtle"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Salamander",Salamander
40,Vacuum,Lizard,Saw,tool,39.0,42,"Answer using only only word - ""Lizard"" or ""Saw"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Lizard",Lizard
41,Oil can,Nail,Toad,tool,39.0,40,"Answer using only only word - ""Nail"" or ""Toad"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Nail",Nail
42,Shovel,Cobra,Saw,tool,39.0,43,"Answer using only only word - ""Cobra"" or ""Saw"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Cobra",Cobra
43,Screwdriver,Alligator,Saw,tool,42.0,42,"Answer using only only word - ""Alligator"" or ""Saw"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","

Saw",Saw
44,Dinosaur,Crocodile,Salamander,reptile,43.0,43,"Answer using only only word - ""Crocodile"" or ""Salamander"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Crocodile",Crocodile
45,Saw,Blindworm,Nail,tool,39.0,41,"Answer using only only word - ""Blindworm"" or ""Nail"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Nail",Nail
46,Hammer,Salamander,Snake,tool,41.0,40,"Answer using only only word - ""Salamander"" or ""Snake"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Snake",Snake
47,Grinding disk,Anvil,Gecko,tool,43.0,42,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Anvil",Anvil
48,Oil can,Alligator,Chisel,tool,41.0,40,"Answer using only only word - ""Alligator"" or ""Chisel"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Chisel",Chisel
49,Dinosaur,Boa python,Saw,reptile,41.0,41,"Answer using only only word - ""Boa python"" or ""Saw"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Boa python",Boa python
50,Lizard,Crocodile,Vacuum,reptile,41.0,43,"Answer using only only word - ""Crocodile"" or ""Vacuum"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Crocodile",Crocodile
51,Grinding disk,Axe,Chisel,tool,43.0,42,"Answer using only only word - ""Axe"" or ""Chisel"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Axe",Axe
52,Turtle,Chameleon,Vacuum,reptile,41.0,42,"Answer using only only word - ""Chameleon"" or ""Vacuum"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","

Chameleon",Chameleon
53,Alligator,Axe,Screwdriver,reptile,42.0,41,"Answer using only only word - ""Axe"" or ""Screwdriver"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Axe",Axe
54,Lizard,Chisel,Lawn Mower,reptile,41.0,42,"Answer using only only word - ""Chisel"" or ""Lawn Mower"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Chisel",Chisel
55,Blindworm,Anvil,Shovel,reptile,41.0,43,"Answer using only only word - ""Anvil"" or ""Shovel"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Shovel",Shovel
56,Nail,Chameleon,Paint brush,tool,41.0,42,"Answer using only only word - ""Chameleon"" or ""Paint brush"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Paint brush",Paint brush
57,Grinding disk,Alligator,Axe,tool,43.0,42,"Answer using only only word - ""Alligator"" or ""Axe"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Axe",Axe
58,Boa python,Blindworm,Nail,reptile,42.0,43,"Answer using only only word - ""Blindworm"" or ""Nail"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Nail",Nail
59,Tortoise,Oil can,Turtle,reptile,41.0,42,"Answer using only only word - ""Oil can"" or ""Turtle"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Turtle",Turtle
60,Spanner,Crocodile,Grinding disk,tool,43.0,45,"Answer using only only word - ""Crocodile"" or ""Grinding disk"" and not ""Spanner"".Which is more similar in meaning to ""Spanner""?","

Crocodile",Crocodile
61,Hammer,Paint brush,Tortoise,tool,42.0,42,"Answer using only only word - ""Paint brush"" or ""Tortoise"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Paint brush.",Paint brush
62,Boa python,Dinosaur,Paint brush,reptile,44.0,43,"Answer using only only word - ""Dinosaur"" or ""Paint brush"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Dinosaur",Dinosaur
63,Dinosaur,Nail,Turtle,reptile,40.0,40,"Answer using only only word - ""Nail"" or ""Turtle"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Nail",Nail
64,Axe,Hammer,Knife,tool,38.0,40,"Answer using only only word - ""Hammer"" or ""Knife"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Hammer",Hammer
65,Turtle,Oil can,Toad,reptile,40.0,40,"Answer using only only word - ""Oil can"" or ""Toad"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","

Oil can",Oil can
66,Hammer,Nail,Toad,tool,39.0,40,"Answer using only only word - ""Nail"" or ""Toad"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Nail",Nail
67,Dinosaur,Blindworm,Vacuum,reptile,42.0,42,"Answer using only only word - ""Blindworm"" or ""Vacuum"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Vacuum",Vacuum
68,Lawn Mower,Axe,Nail,tool,41.0,44,"Answer using only only word - ""Axe"" or ""Nail"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Axe",Axe
69,Anvil,Lizard,Paint brush,tool,41.0,41,"Answer using only only word - ""Lizard"" or ""Paint brush"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Lizard",Lizard
70,Salamander,Screwdriver,Turtle,reptile,43.0,43,"Answer using only only word - ""Screwdriver"" or ""Turtle"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Turtle",Turtle
71,Chisel,Cobra,Screwdriver,tool,41.0,42,"Answer using only only word - ""Cobra"" or ""Screwdriver"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Cobra",Cobra
72,Crocodile,Knife,Nail,reptile,41.0,44,"Answer using only only word - ""Knife"" or ""Nail"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Knife",Knife
73,Lizard,Anvil,Boa python,reptile,41.0,41,"Answer using only only word - ""Anvil"" or ""Boa python"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Boa python",Boa python
74,Alligator,Chameleon,Toad,reptile,42.0,41,"Answer using only only word - ""Chameleon"" or ""Toad"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Toad",Toad
75,Gecko,Lizard,Oil can,reptile,40.0,40,"Answer using only only word - ""Lizard"" or ""Oil can"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","

Lizard",Lizard
76,Lizard,Alligator,Salamander,reptile,42.0,41,"Answer using only only word - ""Alligator"" or ""Salamander"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Salamander",Salamander
77,Hammer,Nail,Oil can,tool,40.0,40,"Answer using only only word - ""Nail"" or ""Oil can"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Nail",Nail
78,Dinosaur,Gecko,Screwdriver,reptile,42.0,41,"Answer using only only word - ""Gecko"" or ""Screwdriver"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Gecko",Gecko
79,Nail,Chisel,Oil can,tool,39.0,40,"Answer using only only word - ""Chisel"" or ""Oil can"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Chisel",Chisel
80,Dinosaur,Alligator,Salamander,reptile,43.0,41,"Answer using only only word - ""Alligator"" or ""Salamander"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Alligator",Alligator
81,Axe,Gecko,Lizard,tool,38.0,40,"Answer using only only word - ""Gecko"" or ""Lizard"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Lizard",Lizard
82,Crocodile,Axe,Grinding disk,reptile,42.0,45,"Answer using only only word - ""Axe"" or ""Grinding disk"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Axe",Axe
83,Chisel,Alligator,Shovel,tool,41.0,41,"Answer using only only word - ""Alligator"" or ""Shovel"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Shovel",Shovel
84,Alligator,Chameleon,Nail,reptile,42.0,41,"Answer using only only word - ""Chameleon"" or ""Nail"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Chameleon",Chameleon
85,Alligator,Knife,Saw,reptile,40.0,40,"Answer using only only word - ""Knife"" or ""Saw"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Saw",Saw
86,Boa python,Paint brush,Spanner,reptile,43.0,44,"Answer using only only word - ""Paint brush"" or ""Spanner"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Paint brush",Paint brush
87,Crocodile,Lawn Mower,Tortoise,reptile,43.0,47,"Answer using only only word - ""Lawn Mower"" or ""Tortoise"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Tortoise",Tortoise
88,Cobra,Boa python,Screwdriver,reptile,42.0,44,"Answer using only only word - ""Boa python"" or ""Screwdriver"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Boa python",Boa python
89,Dinosaur,Gecko,Grinding disk,reptile,42.0,41,"Answer using only only word - ""Gecko"" or ""Grinding disk"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Gecko",Gecko
90,Grinding disk,Blindworm,Saw,tool,43.0,43,"Answer using only only word - ""Blindworm"" or ""Saw"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Saw",Saw
91,Chisel,Grinding disk,Vacuum,tool,42.0,42,"Answer using only only word - ""Grinding disk"" or ""Vacuum"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Grinding disk",Grinding disk
92,Hammer,Alligator,Vacuum,tool,41.0,41,"Answer using only only word - ""Alligator"" or ""Vacuum"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Alligator",Alligator
93,Vacuum,Nail,Tortoise,tool,40.0,43,"Answer using only only word - ""Nail"" or ""Tortoise"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Nail",Nail
94,Lizard,Alligator,Chameleon,reptile,41.0,41,"Answer using only only word - ""Alligator"" or ""Chameleon"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Alligator.",Alligator
95,Lizard,Crocodile,Oil can,reptile,41.0,42,"Answer using only only word - ""Crocodile"" or ""Oil can"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Crocodile",Crocodile
96,Boa python,Crocodile,Shovel,reptile,43.0,45,"Answer using only only word - ""Crocodile"" or ""Shovel"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Crocodile",Crocodile
97,Shovel,Gecko,Nail,tool,39.0,42,"Answer using only only word - ""Gecko"" or ""Nail"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Nail",Nail
98,Screwdriver,Boa python,Lizard,tool,43.0,43,"Answer using only only word - ""Boa python"" or ""Lizard"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","

Boa python",Boa python
99,Dinosaur,Knife,Lizard,reptile,41.0,40,"Answer using only only word - ""Knife"" or ""Lizard"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Lizard",Lizard
100,Boa python,Axe,Screwdriver,reptile,42.0,43,"Answer using only only word - ""Axe"" or ""Screwdriver"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Axe",Axe
101,Knife,Axe,Lawn Mower,tool,40.0,42,"Answer using only only word - ""Axe"" or ""Lawn Mower"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Axe",Axe
102,Blindworm,Chameleon,Gecko,reptile,42.0,43,"Answer using only only word - ""Chameleon"" or ""Gecko"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Chameleon",Chameleon
103,Lizard,Boa python,Chisel,reptile,41.0,41,"Answer using only only word - ""Boa python"" or ""Chisel"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Boa python",Boa python
104,Salamander,Boa python,Crocodile,reptile,44.0,45,"Answer using only only word - ""Boa python"" or ""Crocodile"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Boa python",Boa python
105,Nail,Anvil,Turtle,tool,39.0,40,"Answer using only only word - ""Anvil"" or ""Turtle"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Anvil",Anvil
106,Turtle,Gecko,Oil can,reptile,40.0,40,"Answer using only only word - ""Gecko"" or ""Oil can"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","

Gecko",Gecko
107,Alligator,Axe,Lawn Mower,reptile,42.0,42,"Answer using only only word - ""Axe"" or ""Lawn Mower"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Axe",Axe
108,Shovel,Nail,Tortoise,tool,40.0,43,"Answer using only only word - ""Nail"" or ""Tortoise"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Nail",Nail
109,Vacuum,Saw,Snake,tool,39.0,41,"Answer using only only word - ""Saw"" or ""Snake"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Saw",Saw
110,Anvil,Saw,Spanner,tool,39.0,41,"Answer using only only word - ""Saw"" or ""Spanner"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Saw.",Saw
111,Hammer,Chisel,Gecko,tool,40.0,40,"Answer using only only word - ""Chisel"" or ""Gecko"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Chisel",Chisel
112,Tortoise,Salamander,Snake,reptile,42.0,42,"Answer using only only word - ""Salamander"" or ""Snake"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Salamander",Salamander
113,Snake,Blindworm,Spanner,reptile,40.0,40,"Answer using only only word - ""Blindworm"" or ""Spanner"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Blindworm.",Blindworm
114,Boa python,Nail,Toad,reptile,41.0,42,"Answer using only only word - ""Nail"" or ""Toad"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Nail",Nail
115,Shovel,Alligator,Tortoise,tool,41.0,43,"Answer using only only word - ""Alligator"" or ""Tortoise"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Alligator",Alligator
116,Nail,Crocodile,Screwdriver,tool,41.0,43,"Answer using only only word - ""Crocodile"" or ""Screwdriver"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Crocodile",Crocodile
117,Snake,Caiman,Oil can,reptile,40.0,38,"Answer using only only word - ""Caiman"" or ""Oil can"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Caiman",Caiman
118,Saw,Nail,Turtle,tool,38.0,40,"Answer using only only word - ""Nail"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Nail",Nail
119,Axe,Alligator,Boa python,tool,40.0,41,"Answer using only only word - ""Alligator"" or ""Boa python"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Alligator",Alligator
120,Salamander,Gecko,Spanner,reptile,42.0,43,"Answer using only only word - ""Gecko"" or ""Spanner"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Gecko",Gecko
121,Tortoise,Oil can,Paint brush,reptile,42.0,43,"Answer using only only word - ""Oil can"" or ""Paint brush"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Oil can.",Oil can
122,Salamander,Axe,Paint brush,reptile,42.0,43,"Answer using only only word - ""Axe"" or ""Paint brush"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Axe.",Axe
123,Nail,Gecko,Spanner,tool,39.0,41,"Answer using only only word - ""Gecko"" or ""Spanner"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Spanner",Spanner
124,Blindworm,Anvil,Grinding disk,reptile,43.0,43,"Answer using only only word - ""Anvil"" or ""Grinding disk"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Anvil",Anvil
125,Caiman,Grinding disk,Snake,reptile,41.0,40,"Answer using only only word - ""Grinding disk"" or ""Snake"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","

 Snake",Snake
126,Dinosaur,Lizard,Nail,reptile,40.0,40,"Answer using only only word - ""Lizard"" or ""Nail"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Lizard",Lizard
127,Lawn Mower,Dinosaur,Toad,tool,42.0,44,"Answer using only only word - ""Dinosaur"" or ""Toad"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Dinosaur",Dinosaur
128,Tortoise,Shovel,Toad,reptile,40.0,43,"Answer using only only word - ""Shovel"" or ""Toad"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Shovel",Shovel
129,Dinosaur,Grinding disk,Knife,reptile,42.0,41,"Answer using only only word - ""Grinding disk"" or ""Knife"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Knife",Knife
130,Chameleon,Caiman,Vacuum,reptile,41.0,43,"Answer using only only word - ""Caiman"" or ""Vacuum"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Caiman",Caiman
131,Grinding disk,Boa python,Gecko,tool,44.0,43,"Answer using only only word - ""Boa python"" or ""Gecko"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Boa python",Boa python
132,Snake,Chisel,Cobra,reptile,39.0,39,"Answer using only only word - ""Chisel"" or ""Cobra"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Cobra",Cobra
133,Vacuum,Salamander,Spanner,tool,41.0,44,"Answer using only only word - ""Salamander"" or ""Spanner"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Spanner.",Spanner
134,Crocodile,Nail,Paint brush,reptile,42.0,45,"Answer using only only word - ""Nail"" or ""Paint brush"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Nail",Nail
135,Nail,Chameleon,Turtle,tool,40.0,41,"Answer using only only word - ""Chameleon"" or ""Turtle"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Chameleon",Chameleon
136,Snake,Oil can,Salamander,reptile,41.0,39,"Answer using only only word - ""Oil can"" or ""Salamander"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Oil can",Oil can
137,Nail,Blindworm,Crocodile,tool,40.0,43,"Answer using only only word - ""Blindworm"" or ""Crocodile"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Blindworm",Blindworm
138,Blindworm,Oil can,Paint brush,reptile,43.0,43,"Answer using only only word - ""Oil can"" or ""Paint brush"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Oil can.",Oil can
139,Saw,Chisel,Spanner,tool,39.0,41,"Answer using only only word - ""Chisel"" or ""Spanner"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Chisel",Chisel
140,Axe,Hammer,Vacuum,tool,38.0,41,"Answer using only only word - ""Hammer"" or ""Vacuum"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Hammer",Hammer
141,Cobra,Gecko,Turtle,reptile,39.0,42,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Gecko",Gecko
142,Hammer,Cobra,Toad,tool,39.0,41,"Answer using only only word - ""Cobra"" or ""Toad"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Cobra",Cobra
143,Tortoise,Axe,Blindworm,reptile,41.0,43,"Answer using only only word - ""Axe"" or ""Blindworm"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Axe",Axe
144,Hammer,Crocodile,Paint brush,tool,42.0,43,"Answer using only only word - ""Crocodile"" or ""Paint brush"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Paint brush.",Paint brush
