,Anchor,Concept1,Concept2,Category,estimated_tokens,real_tokens,prompt,gpt_response,gpt_choice
11,Anvil,Chisel,Grinding disk,tool,41.0,37,"Answer using only only word - ""Chisel"" or ""Grinding disk"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Chisel",Chisel
12,Dinosaur,Anvil,Crocodile,reptile,41.0,40,"Answer using only only word - ""Anvil"" or ""Crocodile"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Crocodile",Crocodile
13,Blindworm,Anvil,Axe,reptile,40.0,38,"Answer using only only word - ""Anvil"" or ""Axe"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Anvil",Anvil
14,Paint brush,Lawn Mower,Lizard,tool,43.0,40,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Lizard",Lizard
15,Knife,Crocodile,Turtle,tool,40.0,40,"Answer using only only word - ""Crocodile"" or ""Turtle"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Crocodile",Crocodile
16,Snake,Caiman,Knife,reptile,39.0,34,"Answer using only only word - ""Caiman"" or ""Knife"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Caiman",Caiman
17,Anvil,Lizard,Toad,tool,39.0,36,"Answer using only only word - ""Lizard"" or ""Toad"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Lizard",Lizard
18,Lizard,Snake,Spanner,reptile,40.0,35,"Answer using only only word - ""Snake"" or ""Spanner"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Snake",Snake
19,Lizard,Turtle,Vacuum,reptile,40.0,37,"Answer using only only word - ""Turtle"" or ""Vacuum"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Turtle",Turtle
20,Caiman,Gecko,Paint brush,reptile,41.0,37,"Answer using only only word - ""Gecko"" or ""Paint brush"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","

Gecko",Gecko
21,Knife,Caiman,Crocodile,tool,40.0,40,"Answer using only only word - ""Caiman"" or ""Crocodile"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Crocodile",Crocodile
22,Lawn Mower,Chameleon,Nail,tool,42.0,42,"Answer using only only word - ""Chameleon"" or ""Nail"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Chameleon",Chameleon
23,Gecko,Chisel,Knife,reptile,39.0,36,"Answer using only only word - ""Chisel"" or ""Knife"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","

Chisel",Chisel
24,Tortoise,Blindworm,Paint brush,reptile,43.0,41,"Answer using only only word - ""Blindworm"" or ""Paint brush"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Blindworm",Blindworm
25,Dinosaur,Gecko,Knife,reptile,40.0,36,"Answer using only only word - ""Gecko"" or ""Knife"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Gecko",Gecko
26,Oil can,Chisel,Crocodile,tool,41.0,38,"Answer using only only word - ""Chisel"" or ""Crocodile"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Chisel",Chisel
27,Grinding disk,Blindworm,Oil can,tool,44.0,39,"Answer using only only word - ""Blindworm"" or ""Oil can"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Oil can",Oil can
28,Tortoise,Grinding disk,Oil can,reptile,43.0,40,"Answer using only only word - ""Grinding disk"" or ""Oil can"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Oil can.",Oil can
29,Knife,Gecko,Lizard,tool,39.0,36,"Answer using only only word - ""Gecko"" or ""Lizard"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Gecko",Gecko
30,Chisel,Alligator,Saw,tool,40.0,36,"Answer using only only word - ""Alligator"" or ""Saw"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Saw",Saw
31,Caiman,Chameleon,Spanner,reptile,41.0,39,"Answer using only only word - ""Chameleon"" or ""Spanner"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","

Chameleon",Chameleon
32,Oil can,Chisel,Gecko,tool,40.0,36,"Answer using only only word - ""Chisel"" or ""Gecko"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Chisel",Chisel
33,Toad,Hammer,Lawn Mower,reptile,40.0,38,"Answer using only only word - ""Hammer"" or ""Lawn Mower"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Hammer",Hammer
34,Crocodile,Grinding disk,Turtle,reptile,43.0,41,"Answer using only only word - ""Grinding disk"" or ""Turtle"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Turtle",Turtle
35,Nail,Knife,Lawn Mower,tool,40.0,38,"Answer using only only word - ""Knife"" or ""Lawn Mower"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Knife",Knife
36,Oil can,Grinding disk,Hammer,tool,42.0,37,"Answer using only only word - ""Grinding disk"" or ""Hammer"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Hammer",Hammer
37,Snake,Knife,Oil can,reptile,39.0,34,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Knife",Knife
38,Cobra,Boa python,Turtle,reptile,40.0,40,"Answer using only only word - ""Boa python"" or ""Turtle"" and not ""Cobra"".Which is more similar in meaning to ""Cobra""?","

Boa python",Boa python
39,Lawn Mower,Axe,Caiman,tool,41.0,40,"Answer using only only word - ""Axe"" or ""Caiman"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Axe",Axe
40,Anvil,Lizard,Saw,tool,39.0,36,"Answer using only only word - ""Lizard"" or ""Saw"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Lizard",Lizard
41,Shovel,Cobra,Toad,tool,39.0,40,"Answer using only only word - ""Cobra"" or ""Toad"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Cobra",Cobra
42,Crocodile,Cobra,Salamander,reptile,42.0,43,"Answer using only only word - ""Cobra"" or ""Salamander"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Cobra",Cobra
43,Shovel,Alligator,Spanner,tool,41.0,40,"Answer using only only word - ""Alligator"" or ""Spanner"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Spanner",Spanner
44,Alligator,Blindworm,Lawn Mower,reptile,43.0,40,"Answer using only only word - ""Blindworm"" or ""Lawn Mower"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Blindworm",Blindworm
45,Caiman,Chisel,Salamander,reptile,41.0,38,"Answer using only only word - ""Chisel"" or ""Salamander"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","

Salamander",Salamander
46,Chisel,Paint brush,Saw,tool,40.0,38,"Answer using only only word - ""Paint brush"" or ""Saw"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Paint brush",Paint brush
47,Screwdriver,Axe,Dinosaur,tool,42.0,38,"Answer using only only word - ""Axe"" or ""Dinosaur"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","

Axe",Axe
48,Grinding disk,Hammer,Screwdriver,tool,45.0,39,"Answer using only only word - ""Hammer"" or ""Screwdriver"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Hammer",Hammer
49,Grinding disk,Blindworm,Knife,tool,44.0,39,"Answer using only only word - ""Blindworm"" or ""Knife"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Knife",Knife
50,Toad,Paint brush,Tortoise,reptile,41.0,39,"Answer using only only word - ""Paint brush"" or ""Tortoise"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Paint brush",Paint brush
51,Saw,Gecko,Salamander,tool,39.0,37,"Answer using only only word - ""Gecko"" or ""Salamander"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Gecko",Gecko
52,Crocodile,Hammer,Spanner,reptile,42.0,41,"Answer using only only word - ""Hammer"" or ""Spanner"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Hammer",Hammer
53,Knife,Lawn Mower,Vacuum,tool,40.0,40,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Vacuum",Vacuum
54,Oil can,Axe,Snake,tool,39.0,35,"Answer using only only word - ""Axe"" or ""Snake"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Axe",Axe
55,Axe,Gecko,Vacuum,tool,38.0,37,"Answer using only only word - ""Gecko"" or ""Vacuum"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Gecko",Gecko
56,Oil can,Snake,Toad,tool,40.0,34,"Answer using only only word - ""Snake"" or ""Toad"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Snake",Snake
57,Nail,Dinosaur,Oil can,tool,40.0,36,"Answer using only only word - ""Dinosaur"" or ""Oil can"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Dinosaur",Dinosaur
58,Shovel,Dinosaur,Lawn Mower,tool,41.0,40,"Answer using only only word - ""Dinosaur"" or ""Lawn Mower"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Dinosaur",Dinosaur
59,Hammer,Anvil,Lizard,tool,40.0,36,"Answer using only only word - ""Anvil"" or ""Lizard"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Anvil",Anvil
60,Chameleon,Boa python,Toad,reptile,42.0,40,"Answer using only only word - ""Boa python"" or ""Toad"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Boa python",Boa python
61,Crocodile,Alligator,Screwdriver,reptile,43.0,41,"Answer using only only word - ""Alligator"" or ""Screwdriver"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Alligator",Alligator
62,Salamander,Blindworm,Tortoise,reptile,43.0,41,"Answer using only only word - ""Blindworm"" or ""Tortoise"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Tortoise",Tortoise
63,Toad,Caiman,Oil can,reptile,39.0,36,"Answer using only only word - ""Caiman"" or ""Oil can"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Caiman",Caiman
64,Lizard,Gecko,Turtle,reptile,40.0,36,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Gecko",Gecko
65,Crocodile,Gecko,Turtle,reptile,41.0,40,"Answer using only only word - ""Gecko"" or ""Turtle"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Gecko",Gecko
66,Anvil,Caiman,Knife,tool,39.0,36,"Answer using only only word - ""Caiman"" or ""Knife"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Caiman",Caiman
67,Anvil,Crocodile,Grinding disk,tool,42.0,41,"Answer using only only word - ""Crocodile"" or ""Grinding disk"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Crocodile",Crocodile
68,Salamander,Alligator,Nail,reptile,42.0,38,"Answer using only only word - ""Alligator"" or ""Nail"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Alligator",Alligator
69,Toad,Crocodile,Lizard,reptile,40.0,38,"Answer using only only word - ""Crocodile"" or ""Lizard"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Lizard",Lizard
70,Grinding disk,Axe,Dinosaur,tool,43.0,38,"Answer using only only word - ""Axe"" or ""Dinosaur"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Axe",Axe
71,Blindworm,Caiman,Cobra,reptile,41.0,40,"Answer using only only word - ""Caiman"" or ""Cobra"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Cobra",Cobra
72,Chameleon,Alligator,Oil can,reptile,42.0,38,"Answer using only only word - ""Alligator"" or ""Oil can"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Alligator",Alligator
73,Vacuum,Lizard,Paint brush,tool,41.0,39,"Answer using only only word - ""Lizard"" or ""Paint brush"" and not ""Vacuum"".Which is more similar in meaning to ""Vacuum""?","

Lizard",Lizard
74,Axe,Salamander,Turtle,tool,39.0,37,"Answer using only only word - ""Salamander"" or ""Turtle"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Turtle",Turtle
75,Saw,Cobra,Turtle,tool,38.0,38,"Answer using only only word - ""Cobra"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Cobra",Cobra
76,Snake,Chisel,Vacuum,reptile,39.0,35,"Answer using only only word - ""Chisel"" or ""Vacuum"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Chisel",Chisel
77,Lawn Mower,Cobra,Screwdriver,tool,43.0,43,"Answer using only only word - ""Cobra"" or ""Screwdriver"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Cobra",Cobra
78,Screwdriver,Paint brush,Salamander,tool,45.0,41,"Answer using only only word - ""Paint brush"" or ""Salamander"" and not ""Screwdriver"".Which is more similar in meaning to ""Screwdriver""?","

Paint brush",Paint brush
79,Lawn Mower,Anvil,Knife,tool,41.0,40,"Answer using only only word - ""Anvil"" or ""Knife"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Anvil",Anvil
80,Boa python,Dinosaur,Saw,reptile,42.0,38,"Answer using only only word - ""Dinosaur"" or ""Saw"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Dinosaur",Dinosaur
81,Snake,Boa python,Chameleon,reptile,41.0,37,"Answer using only only word - ""Boa python"" or ""Chameleon"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Boa python",Boa python
82,Nail,Lizard,Screwdriver,tool,40.0,37,"Answer using only only word - ""Lizard"" or ""Screwdriver"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Lizard",Lizard
83,Blindworm,Salamander,Snake,reptile,42.0,39,"Answer using only only word - ""Salamander"" or ""Snake"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Salamander",Salamander
84,Nail,Cobra,Crocodile,tool,39.0,40,"Answer using only only word - ""Cobra"" or ""Crocodile"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Cobra",Cobra
85,Lizard,Hammer,Nail,reptile,39.0,36,"Answer using only only word - ""Hammer"" or ""Nail"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Nail",Nail
86,Chameleon,Knife,Oil can,reptile,41.0,38,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Knife",Knife
87,Nail,Spanner,Turtle,tool,39.0,39,"Answer using only only word - ""Spanner"" or ""Turtle"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Spanner.",Spanner
88,Tortoise,Chisel,Spanner,reptile,41.0,39,"Answer using only only word - ""Chisel"" or ""Spanner"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Chisel",Chisel
89,Chisel,Knife,Lawn Mower,tool,41.0,38,"Answer using only only word - ""Knife"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Knife",Knife
90,Knife,Anvil,Axe,tool,38.0,36,"Answer using only only word - ""Anvil"" or ""Axe"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Axe",Axe
91,Caiman,Lizard,Shovel,reptile,40.0,37,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","

Lizard",Lizard
92,Crocodile,Salamander,Tortoise,reptile,43.0,43,"Answer using only only word - ""Salamander"" or ""Tortoise"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Salamander",Salamander
93,Boa python,Nail,Shovel,reptile,41.0,39,"Answer using only only word - ""Nail"" or ""Shovel"" and not ""Boa python"".Which is more similar in meaning to ""Boa python""?","

Nail",Nail
94,Gecko,Anvil,Cobra,reptile,39.0,38,"Answer using only only word - ""Anvil"" or ""Cobra"" and not ""Gecko"".Which is more similar in meaning to ""Gecko""?","

Cobra",Cobra
95,Toad,Gecko,Shovel,reptile,39.0,37,"Answer using only only word - ""Gecko"" or ""Shovel"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Gecko",Gecko
96,Dinosaur,Lawn Mower,Vacuum,reptile,42.0,41,"Answer using only only word - ""Lawn Mower"" or ""Vacuum"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Lawn Mower",Lawn Mower
97,Chameleon,Grinding disk,Toad,reptile,43.0,39,"Answer using only only word - ""Grinding disk"" or ""Toad"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Toad",Toad
98,Chisel,Blindworm,Boa python,tool,42.0,39,"Answer using only only word - ""Blindworm"" or ""Boa python"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Boa python",Boa python
99,Snake,Paint brush,Vacuum,reptile,41.0,37,"Answer using only only word - ""Paint brush"" or ""Vacuum"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Paint brush",Paint brush
100,Grinding disk,Blindworm,Cobra,tool,44.0,41,"Answer using only only word - ""Blindworm"" or ""Cobra"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Cobra",Cobra
101,Oil can,Chameleon,Grinding disk,tool,43.0,39,"Answer using only only word - ""Chameleon"" or ""Grinding disk"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Chameleon",Chameleon
102,Saw,Alligator,Toad,tool,39.0,36,"Answer using only only word - ""Alligator"" or ""Toad"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Alligator",Alligator
103,Toad,Axe,Salamander,reptile,39.0,37,"Answer using only only word - ""Axe"" or ""Salamander"" and not ""Toad"".Which is more similar in meaning to ""Toad""?","

Axe",Axe
104,Chisel,Alligator,Lawn Mower,tool,42.0,38,"Answer using only only word - ""Alligator"" or ""Lawn Mower"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Alligator",Alligator
105,Chisel,Anvil,Oil can,tool,40.0,36,"Answer using only only word - ""Anvil"" or ""Oil can"" and not ""Chisel"".Which is more similar in meaning to ""Chisel""?","

Anvil",Anvil
106,Knife,Alligator,Gecko,tool,40.0,36,"Answer using only only word - ""Alligator"" or ""Gecko"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Alligator",Alligator
107,Paint brush,Caiman,Vacuum,tool,42.0,39,"Answer using only only word - ""Caiman"" or ""Vacuum"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Caiman",Caiman
108,Nail,Crocodile,Knife,tool,39.0,38,"Answer using only only word - ""Crocodile"" or ""Knife"" and not ""Nail"".Which is more similar in meaning to ""Nail""?","

Knife",Knife
109,Turtle,Knife,Salamander,reptile,41.0,38,"Answer using only only word - ""Knife"" or ""Salamander"" and not ""Turtle"".Which is more similar in meaning to ""Turtle""?","

Salamander",Salamander
110,Crocodile,Alligator,Grinding disk,reptile,44.0,41,"Answer using only only word - ""Alligator"" or ""Grinding disk"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Alligator",Alligator
111,Hammer,Blindworm,Salamander,tool,42.0,39,"Answer using only only word - ""Blindworm"" or ""Salamander"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Blindworm",Blindworm
112,Saw,Toad,Tortoise,tool,38.0,37,"Answer using only only word - ""Toad"" or ""Tortoise"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Toad",Toad
113,Alligator,Boa python,Chameleon,reptile,43.0,39,"Answer using only only word - ""Boa python"" or ""Chameleon"" and not ""Alligator"".Which is more similar in meaning to ""Alligator""?","

Boa python",Boa python
114,Crocodile,Lizard,Shovel,reptile,41.0,41,"Answer using only only word - ""Lizard"" or ""Shovel"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Lizard",Lizard
115,Blindworm,Boa python,Lawn Mower,reptile,43.0,42,"Answer using only only word - ""Boa python"" or ""Lawn Mower"" and not ""Blindworm"".Which is more similar in meaning to ""Blindworm""?","

Boa python",Boa python
116,Grinding disk,Salamander,Saw,tool,44.0,39,"Answer using only only word - ""Salamander"" or ""Saw"" and not ""Grinding disk"".Which is more similar in meaning to ""Grinding disk""?","

Saw",Saw
117,Oil can,Anvil,Chameleon,tool,41.0,37,"Answer using only only word - ""Anvil"" or ""Chameleon"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Anvil",Anvil
118,Anvil,Lawn Mower,Snake,tool,40.0,39,"Answer using only only word - ""Lawn Mower"" or ""Snake"" and not ""Anvil"".Which is more similar in meaning to ""Anvil""?","

Lawn Mower",Lawn Mower
119,Lizard,Caiman,Grinding disk,reptile,42.0,37,"Answer using only only word - ""Caiman"" or ""Grinding disk"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Caiman",Caiman
120,Dinosaur,Crocodile,Shovel,reptile,42.0,41,"Answer using only only word - ""Crocodile"" or ""Shovel"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Crocodile",Crocodile
121,Shovel,Cobra,Spanner,tool,40.0,41,"Answer using only only word - ""Cobra"" or ""Spanner"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Cobra",Cobra
122,Chameleon,Chisel,Gecko,reptile,41.0,38,"Answer using only only word - ""Chisel"" or ""Gecko"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Gecko",Gecko
123,Lawn Mower,Knife,Snake,tool,41.0,39,"Answer using only only word - ""Knife"" or ""Snake"" and not ""Lawn Mower"".Which is more similar in meaning to ""Lawn Mower""?","

Knife",Knife
124,Tortoise,Axe,Oil can,reptile,40.0,38,"Answer using only only word - ""Axe"" or ""Oil can"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Axe",Axe
125,Salamander,Alligator,Blindworm,reptile,43.0,39,"Answer using only only word - ""Alligator"" or ""Blindworm"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Alligator",Alligator
126,Hammer,Chameleon,Crocodile,tool,41.0,41,"Answer using only only word - ""Chameleon"" or ""Crocodile"" and not ""Hammer"".Which is more similar in meaning to ""Hammer""?","

Crocodile",Crocodile
127,Crocodile,Lawn Mower,Lizard,reptile,42.0,42,"Answer using only only word - ""Lawn Mower"" or ""Lizard"" and not ""Crocodile"".Which is more similar in meaning to ""Crocodile""?","

Lizard",Lizard
128,Dinosaur,Snake,Spanner,reptile,41.0,35,"Answer using only only word - ""Snake"" or ""Spanner"" and not ""Dinosaur"".Which is more similar in meaning to ""Dinosaur""?","

Snake",Snake
129,Saw,Blindworm,Boa python,tool,40.0,39,"Answer using only only word - ""Blindworm"" or ""Boa python"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Blindworm",Blindworm
130,Axe,Dinosaur,Gecko,tool,39.0,36,"Answer using only only word - ""Dinosaur"" or ""Gecko"" and not ""Axe"".Which is more similar in meaning to ""Axe""?","

Dinosaur",Dinosaur
131,Tortoise,Blindworm,Cobra,reptile,41.0,41,"Answer using only only word - ""Blindworm"" or ""Cobra"" and not ""Tortoise"".Which is more similar in meaning to ""Tortoise""?","

Cobra",Cobra
132,Salamander,Toad,Turtle,reptile,41.0,38,"Answer using only only word - ""Toad"" or ""Turtle"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Turtle",Turtle
133,Snake,Boa python,Paint brush,reptile,42.0,37,"Answer using only only word - ""Boa python"" or ""Paint brush"" and not ""Snake"".Which is more similar in meaning to ""Snake""?","

Boa python",Boa python
134,Paint brush,Knife,Oil can,tool,42.0,38,"Answer using only only word - ""Knife"" or ""Oil can"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Knife",Knife
135,Oil can,Dinosaur,Vacuum,tool,41.0,37,"Answer using only only word - ""Dinosaur"" or ""Vacuum"" and not ""Oil can"".Which is more similar in meaning to ""Oil can""?","

Dinosaur",Dinosaur
136,Caiman,Cobra,Turtle,reptile,40.0,38,"Answer using only only word - ""Cobra"" or ""Turtle"" and not ""Caiman"".Which is more similar in meaning to ""Caiman""?","

Cobra",Cobra
137,Lizard,Axe,Spanner,reptile,39.0,37,"Answer using only only word - ""Axe"" or ""Spanner"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Axe",Axe
138,Lizard,Snake,Toad,reptile,39.0,34,"Answer using only only word - ""Snake"" or ""Toad"" and not ""Lizard"".Which is more similar in meaning to ""Lizard""?","

Snake",Snake
139,Shovel,Dinosaur,Saw,tool,40.0,38,"Answer using only only word - ""Dinosaur"" or ""Saw"" and not ""Shovel"".Which is more similar in meaning to ""Shovel""?","

Dinosaur",Dinosaur
140,Salamander,Axe,Oil can,reptile,41.0,38,"Answer using only only word - ""Axe"" or ""Oil can"" and not ""Salamander"".Which is more similar in meaning to ""Salamander""?","

Axe",Axe
141,Chameleon,Knife,Nail,reptile,41.0,38,"Answer using only only word - ""Knife"" or ""Nail"" and not ""Chameleon"".Which is more similar in meaning to ""Chameleon""?","

Knife",Knife
142,Knife,Anvil,Gecko,tool,39.0,36,"Answer using only only word - ""Anvil"" or ""Gecko"" and not ""Knife"".Which is more similar in meaning to ""Knife""?","

Anvil",Anvil
143,Saw,Hammer,Turtle,tool,38.0,36,"Answer using only only word - ""Hammer"" or ""Turtle"" and not ""Saw"".Which is more similar in meaning to ""Saw""?","

Hammer",Hammer
144,Paint brush,Knife,Tortoise,tool,43.0,39,"Answer using only only word - ""Knife"" or ""Tortoise"" and not ""Paint brush"".Which is more similar in meaning to ""Paint brush""?","

Knife",Knife
